Designator,Mid X,Mid Y,Rotation,Layer
C1,124.007499,-86.543749,270.0,bottom
C10,127.230007,-75.69875,90.0,bottom
C11,128.2125,-75.698752,90.0,bottom
C2,114.501498,-82.321498,90.0,bottom
C3,112.98,-88.0,180.0,bottom
C4,126.307499,-86.54375,90.0,bottom
C5,117.434999,-77.671246,180.0,bottom
C6,117.434992,-76.688746,180.0,bottom
C7,129.68,-83.171249,0.0,bottom
C8,122.5575,-86.543749,90.0,bottom
C9,121.575,-86.54375,90.0,bottom
D1,116.85,-76.22,0.0,top
D10,119.8,-117.7,0.0,top
D11,187.8,-117.7,0.0,top
D12,136.8,-84.2,0.0,top
D13,187.8,-101.5,0.0,top
D14,136.8,-101.5,0.0,top
D15,187.8,-84.2,0.0,top
D16,136.8,-117.7,0.0,top
D17,170.8,-117.7,0.0,top
D18,153.8,-84.2,0.0,top
D19,170.8,-101.5,0.0,top
D2,116.85,-78.22,0.0,top
D20,153.8,-101.5,0.0,top
D21,170.8,-84.2,0.0,top
D22,153.8,-117.7,0.0,top
D3,116.85,-80.22,0.0,top
D4,116.865,-82.22,0.0,top
D5,204.8,-117.7,0.0,top
D6,119.8,-84.2,0.0,top
D7,204.8,-101.5,0.0,top
D8,119.8,-101.5,0.0,top
D9,204.8,-84.2,0.0,top
D_1,121.925,-88.25,0.0,bottom
D_10,121.85,-112.4,0.0,bottom
D_11,130.35,-120.4,0.0,bottom
D_12,137.0075,-76.475,0.0,bottom
D_13,130.35,-88.15,0.0,bottom
D_14,130.35,-96.15,0.0,bottom
D_15,130.35,-104.3,0.0,bottom
D_16,130.35,-112.4,0.0,bottom
D_17,138.85,-120.4,0.0,bottom
D_18,138.85,-78.0,0.0,bottom
D_19,138.85,-88.15,0.0,bottom
D_2,116.7825,-94.85,0.0,bottom
D_20,138.85,-96.15,0.0,bottom
D_21,138.85,-104.3,0.0,bottom
D_22,138.85,-112.4,0.0,bottom
D_23,145.3,-79.225,180.0,bottom
D_24,147.35,-88.15,0.0,bottom
D_25,147.35,-96.15,0.0,bottom
D_26,147.35,-104.3,0.0,bottom
D_27,147.35,-112.4,0.0,bottom
D_28,147.35,-120.4,0.0,bottom
D_29,155.85,-78.0,0.0,bottom
D_3,116.7825,-102.95,0.0,bottom
D_30,155.85,-88.15,0.0,bottom
D_31,155.85,-96.15,0.0,bottom
D_32,155.65,-104.3,0.0,bottom
D_33,155.85,-112.4,0.0,bottom
D_34,155.85,-120.4,0.0,bottom
D_35,164.35,-78.0,0.0,bottom
D_36,164.35,-88.15,0.0,bottom
D_37,164.35,-96.15,0.0,bottom
D_38,164.175,-104.3,0.0,bottom
D_39,164.35,-112.4,0.0,bottom
D_4,113.4325,-112.4,0.0,bottom
D_40,164.35,-120.4,0.0,bottom
D_41,172.85,-120.4,0.0,bottom
D_42,172.85,-78.0,0.0,bottom
D_43,172.85,-88.15,0.0,bottom
D_44,172.85,-96.15,0.0,bottom
D_45,172.635,-104.3,0.0,bottom
D_46,172.85,-112.4,0.0,bottom
D_47,181.35,-78.0,0.0,bottom
D_48,181.35,-88.15,0.0,bottom
D_49,181.35,-96.15,0.0,bottom
